pair	term1	term2	term2: unigram or bigram	source	relation	relatedness score	pos
(council member, councillor)	council member	councillor	unigram	WordNet_synonym	None	0.732	n-n
(council member, councilman)	council member	councilman	unigram	WordNet_is-a	hyponym	0.691	n-n
(council member, board)	council member	board	unigram	PhraseTable_co-aligned	None	0.627	n-n
(council member, member council)	council member	member council	bigram	Wikipedia_transposed	None	0.612	n-n
(council member, board director)	council member	board director	bigram	PhraseTable_co-aligned	None	0.548	n-n
(council member, board trustee)	council member	board trustee	bigram	PhraseTable_co-aligned	None	0.526	n-n
(council member, director)	council member	director	unigram	PhraseTable_co-aligned	None	0.491	n-n
(council member, person)	council member	person	unigram	PhraseTable_co-aligned	None	0.459	n-n
(council member, fellow member)	council member	fellow member	bigram	WordNet_is-a	hypernym	0.396	n-n
(council member, chair person)	council member	chair person	bigram	PhraseTable_co-aligned	None	0.363	n-n
(council member, scientific director)	council member	scientific director	bigram	PhraseTable_co-aligned	None	0.320	n-n
(council member, trustee)	council member	trustee	unigram	PhraseTable_co-aligned	None	0.311	n-n
(coverage area, territory)	coverage area	territory	unigram	PhraseTable_co-aligned	None	0.680	n-n
(coverage area, area coverage)	coverage area	area coverage	bigram	Wikipedia_transposed	None	0.670	n-n
(coverage area, service)	coverage area	service	unigram	PhraseTable_co-aligned	None	0.500	n-n
(coverage area, transmitter)	coverage area	transmitter	unigram	PhraseTable_co-aligned	None	0.492	n-n
(coverage area, station)	coverage area	station	unigram	PhraseTable_co-aligned	None	0.442	n-n
(coverage area, television station)	coverage area	television station	bigram	PhraseTable_co-aligned	None	0.425	n-n
(coverage area, transmitter site)	coverage area	transmitter site	bigram	PhraseTable_co-aligned	None	0.361	n-n
(coverage area, basic service)	coverage area	basic service	bigram	PhraseTable_co-aligned	None	0.286	n-n
(coverage area, digital service)	coverage area	digital service	bigram	PhraseTable_co-aligned	None	0.259	n-n
(coverage area, footprint)	coverage area	footprint	unigram	PhraseTable_co-aligned	None	0.228	n-n
(coverage area, programming service)	coverage area	programming service	bigram	PhraseTable_co-aligned	None	0.210	n-n
(dance step, step dance)	dance step	step dance	bigram	Wikipedia_transposed	None	0.763	a-n
(dance step, chasse)	dance step	chasse	unigram	WordNet_is-a	hyponym	0.447	a-n
(dance step, locomotion)	dance step	locomotion	unigram	WordNet_is-a	hypernym	0.267	a-n
(data access, information)	data access	information	unigram	PhraseTable_co-aligned	None	0.689	n-n
(data access, access data)	data access	access data	bigram	Wikipedia_transposed	None	0.631	n-n
(data access, record)	data access	record	unigram	PhraseTable_co-aligned	None	0.565	n-n
(data access, research)	data access	research	unigram	PhraseTable_co-aligned	None	0.390	n-n
(data access, custom)	data access	custom	unigram	PhraseTable_co-aligned	None	0.339	n-n
(data access, survey)	data access	survey	unigram	PhraseTable_co-aligned	None	0.321	n-n
(data base, database system)	data base	database system	bigram	PhraseTable_co-aligned	None	0.770	n-n
(data base, searchable database)	data base	searchable database	bigram	PhraseTable_co-aligned	None	0.737	n-n
(data base, information system)	data base	information system	bigram	PhraseTable_co-aligned	None	0.696	n-n
(data base, electronic database)	data base	electronic database	bigram	PhraseTable_co-aligned	None	0.637	n-n
(data base, record)	data base	record	unigram	PhraseTable_co-aligned	None	0.608	n-n
(data base, statistic)	data base	statistic	unigram	PhraseTable_co-aligned	None	0.564	n-n
(data base, personal information)	data base	personal information	bigram	PhraseTable_co-aligned	None	0.564	n-n
(data base, base data)	data base	base data	bigram	Wikipedia_transposed	None	0.542	n-n
(data base, input)	data base	input	unigram	PhraseTable_co-aligned	None	0.415	n-n
(data base, number)	data base	number	unigram	PhraseTable_co-aligned	None	0.299	n-n
(data base, figure)	data base	figure	unigram	PhraseTable_co-aligned	None	0.229	n-n
(data communications, communication)	data communications	communication	unigram	PhraseTable_co-aligned	None	0.642	n-n
(data communications, transmission)	data communications	transmission	unigram	PhraseTable_co-aligned	None	0.627	n-n
(data communications, communications data)	data communications	communications data	bigram	Wikipedia_transposed	None	0.623	n-n
(data communications, digital communication)	data communications	digital communication	bigram	WordNet_synonym	None	0.613	n-n
(data communications, information)	data communications	information	unigram	PhraseTable_co-aligned	None	0.590	n-n
(data communications, electronic communication)	data communications	electronic communication	bigram	WordNet_is-a	hypernym	0.532	n-n
(data communications, digital transmission)	data communications	digital transmission	bigram	PhraseTable_co-aligned	None	0.517	n-n
(data communications, reporting)	data communications	reporting	unigram	PhraseTable_co-aligned	None	0.468	n-n
(data communications, transmission capacity)	data communications	transmission capacity	bigram	PhraseTable_co-aligned	None	0.393	n-n
(data communications, carrier)	data communications	carrier	unigram	PhraseTable_co-aligned	None	0.306	n-n
(data file, computer file)	data file	computer file	bigram	WordNet_is-a	hyponym	0.698	n-n
(data file, record)	data file	record	unigram	WordNet_is-a	hypernym	0.603	n-n
(data file, file data)	data file	file data	bigram	Wikipedia_transposed	None	0.596	n-n
(data file, index)	data file	index	unigram	PhraseTable_co-aligned	None	0.577	n-n
(data file, survey)	data file	survey	unigram	PhraseTable_co-aligned	None	0.344	n-n
(data file, custom)	data file	custom	unigram	PhraseTable_co-aligned	None	0.297	n-n
(data file, cycle)	data file	cycle	unigram	PhraseTable_co-aligned	None	0.185	n-n
(data management, management data)	data management	management data	bigram	Wikipedia_transposed	None	0.685	n-n
(data management, database)	data management	database	unigram	PhraseTable_co-aligned	None	0.590	n-n
(data management, information)	data management	information	unigram	PhraseTable_co-aligned	None	0.588	n-n
(data management, collection)	data management	collection	unigram	PhraseTable_co-aligned	None	0.544	n-n
(data management, monitoring)	data management	monitoring	unigram	PhraseTable_co-aligned	None	0.383	n-n
(data management, control)	data management	control	unigram	PhraseTable_co-aligned	None	0.336	n-n
(data point, datum)	data point	datum	unigram	WordNet_synonym	None	0.533	n-n
(data point, information)	data point	information	unigram	WordNet_is-a	hypernym	0.483	n-n
(data point, point data)	data point	point data	bigram	Wikipedia_transposed	None	0.398	n-n
(data point, reading)	data point	reading	unigram	WordNet_is-a	hyponym	0.234	n-n
(data processing, processing data)	data processing	processing data	bigram	Wikipedia_transposed	None	0.827	n-n
(data processing, computer science)	data processing	computer science	bigram	PhraseTable_co-aligned	None	0.645	n-n
(data processing, data mining)	data processing	data mining	bigram	WordNet_is-a	hyponym	0.618	n-n
(data processing, information technology)	data processing	information technology	bigram	PhraseTable_co-aligned	None	0.592	n-n
(data processing, technology)	data processing	technology	unigram	PhraseTable_co-aligned	None	0.554	n-n
(data processing, execution)	data processing	execution	unigram	WordNet_part-whole	meronym	0.395	n-n
(data processing, unit)	data processing	unit	unigram	PhraseTable_co-aligned	None	0.373	n-n
(data processing, science)	data processing	science	unigram	PhraseTable_co-aligned	None	0.364	n-n
(data processing, training)	data processing	training	unigram	PhraseTable_co-aligned	None	0.268	n-n
(data processing, manufacturing)	data processing	manufacturing	unigram	PhraseTable_co-aligned	None	0.254	n-n
(data processing, pension plan)	data processing	pension plan	bigram	PhraseTable_co-aligned	None	0.192	n-n
(data processing, public service)	data processing	public service	bigram	PhraseTable_co-aligned	None	0.178	n-n
(data processing, health care)	data processing	health care	bigram	PhraseTable_co-aligned	None	0.112	n-n
(data sharing, information exchange)	data sharing	information exchange	bigram	PhraseTable_co-aligned	None	0.888	n-n
(data sharing, exchanging information)	data sharing	exchanging information	bigram	PhraseTable_co-aligned	None	0.886	n-n
(data sharing, sharing data)	data sharing	sharing data	bigram	Wikipedia_transposed	None	0.857	n-n
(data sharing, exchange information)	data sharing	exchange information	bigram	PhraseTable_co-aligned	None	0.841	n-n
(data sharing, exchange)	data sharing	exchange	unigram	PhraseTable_co-aligned	None	0.728	n-n
(data sharing, information)	data sharing	information	unigram	PhraseTable_co-aligned	None	0.649	n-n
(data sharing, interchange)	data sharing	interchange	unigram	PhraseTable_co-aligned	None	0.636	n-n
(data sharing, knowledge exchange)	data sharing	knowledge exchange	bigram	PhraseTable_co-aligned	None	0.596	n-n
(data sharing, communication)	data sharing	communication	unigram	PhraseTable_co-aligned	None	0.555	n-n
(data sharing, reporting)	data sharing	reporting	unigram	PhraseTable_co-aligned	None	0.490	n-n
(data sharing, reporting system)	data sharing	reporting system	bigram	PhraseTable_co-aligned	None	0.421	n-n
(data source, source data)	data source	source data	bigram	Wikipedia_transposed	None	0.677	n-n
(data source, information)	data source	information	unigram	PhraseTable_co-aligned	None	0.584	n-n
(data source, resource)	data source	resource	unigram	PhraseTable_co-aligned	None	0.482	n-n
(data source, root)	data source	root	unigram	PhraseTable_co-aligned	None	0.463	n-n
(data source, contact information)	data source	contact information	bigram	PhraseTable_co-aligned	None	0.402	n-n
(data source, supply)	data source	supply	unigram	PhraseTable_co-aligned	None	0.373	n-n
(data source, business address)	data source	business address	bigram	PhraseTable_co-aligned	None	0.294	n-n
(data source, related term)	data source	related term	bigram	PhraseTable_co-aligned	None	0.275	n-n
(data source, postal address)	data source	postal address	bigram	PhraseTable_co-aligned	None	0.218	n-n
(data source, spring water)	data source	spring water	bigram	PhraseTable_co-aligned	None	0.113	n-n
(data source, spring)	data source	spring	unigram	PhraseTable_co-aligned	None	0.112	n-n
(data system, system data)	data system	system data	bigram	Wikipedia_transposed	None	0.609	n-n
(data system, information)	data system	information	unigram	PhraseTable_co-aligned	None	0.602	n-n
(day school, school day)	day school	school day	bigram	Wikipedia_transposed	None	0.750	n-n
(day school, private school)	day school	private school	bigram	WordNet_is-a	hypernym	0.500	n-n
(deep water, water deep)	deep water	water deep	bigram	Wikipedia_transposed	None	0.721	a-n
(deep water, depth)	deep water	depth	unigram	PhraseTable_co-aligned	None	0.705	a-n
(deep water, ship)	deep water	ship	unigram	PhraseTable_co-aligned	None	0.552	a-n
(deep water, river)	deep water	river	unigram	PhraseTable_co-aligned	None	0.526	a-n
(deep water, submerged land)	deep water	submerged land	bigram	PhraseTable_co-aligned	None	0.345	a-n
(deep water, lot)	deep water	lot	unigram	PhraseTable_co-aligned	None	0.279	a-n
(deep water, trouble)	deep water	trouble	unigram	WordNet_is-a	hypernym	0.259	a-n
(deep water, region)	deep water	region	unigram	PhraseTable_co-aligned	None	0.195	a-n
(department staff, employee)	department staff	employee	unigram	PhraseTable_co-aligned	None	0.793	n-n
(department staff, personnel)	department staff	personnel	unigram	PhraseTable_co-aligned	None	0.655	n-n
(department staff, staff department)	department staff	staff department	bigram	Wikipedia_transposed	None	0.580	n-n
(department staff, official)	department staff	official	unigram	PhraseTable_co-aligned	None	0.508	n-n
(department staff, military)	department staff	military	unigram	PhraseTable_co-aligned	None	0.328	n-n
(department staff, external)	department staff	external	unigram	PhraseTable_co-aligned	None	0.219	n-n
(design process, developing software)	design process	developing software	bigram	PhraseTable_co-aligned	None	0.713	n-n
(design process, concept development)	design process	concept development	bigram	PhraseTable_co-aligned	None	0.685	n-n
(design process, idea)	design process	idea	unigram	PhraseTable_co-aligned	None	0.565	n-n
(design process, concept stage)	design process	concept stage	bigram	PhraseTable_co-aligned	None	0.544	n-n
(design process, process design)	design process	process design	bigram	Wikipedia_transposed	None	0.535	n-n
(design process, program development)	design process	program development	bigram	PhraseTable_co-aligned	None	0.534	n-n
(design process, engineering)	design process	engineering	unigram	PhraseTable_co-aligned	None	0.484	n-n
(design process, developing)	design process	developing	unigram	PhraseTable_co-aligned	None	0.483	n-n
(design process, product development)	design process	product development	bigram	PhraseTable_co-aligned	None	0.398	n-n
(design process, vision)	design process	vision	unigram	PhraseTable_co-aligned	None	0.377	n-n
(design process, understanding)	design process	understanding	unigram	PhraseTable_co-aligned	None	0.204	n-n
(design work, designer)	design work	designer	unigram	PhraseTable_co-aligned	None	0.785	n-n
(design work, creation)	design work	creation	unigram	PhraseTable_co-aligned	None	0.623	n-n
(design work, work design)	design work	work design	bigram	Wikipedia_transposed	None	0.604	n-n
(design work, idea)	design work	idea	unigram	PhraseTable_co-aligned	None	0.544	n-n
(design work, program development)	design work	program development	bigram	PhraseTable_co-aligned	None	0.483	n-n
(design work, product development)	design work	product development	bigram	PhraseTable_co-aligned	None	0.466	n-n
(design work, engineering)	design work	engineering	unigram	PhraseTable_co-aligned	None	0.460	n-n
(design work, concept stage)	design work	concept stage	bigram	PhraseTable_co-aligned	None	0.442	n-n
(design work, developing software)	design work	developing software	bigram	PhraseTable_co-aligned	None	0.438	n-n
(design work, concept development)	design work	concept development	bigram	PhraseTable_co-aligned	None	0.375	n-n
(design work, notion)	design work	notion	unigram	PhraseTable_co-aligned	None	0.149	n-n
(desktop computer, personal computer)	desktop computer	personal computer	bigram	WordNet_is-a	hypernym	0.812	n-n
(desktop computer, computer desktop)	desktop computer	computer desktop	bigram	Wikipedia_transposed	None	0.762	n-n
(desktop computer, desk)	desktop computer	desk	unigram	PhraseTable_co-aligned	None	0.491	n-n
(destroyer escort, warship)	destroyer escort	warship	unigram	WordNet_is-a	hypernym	0.556	n-n
(destroyer escort, escort destroyer)	destroyer escort	escort destroyer	bigram	Wikipedia_transposed	None	0.510	n-n
(development program, plan)	development program	plan	unigram	PhraseTable_co-aligned	None	0.672	n-n
(development program, developing)	development program	developing	unigram	PhraseTable_co-aligned	None	0.652	n-n
(development program, strategy)	development program	strategy	unigram	PhraseTable_co-aligned	None	0.569	n-n
(development program, program development)	development program	program development	bigram	Wikipedia_transposed	None	0.562	n-n
(development program, training programme)	development program	training programme	bigram	PhraseTable_co-aligned	None	0.549	n-n
(development program, training curriculum)	development program	training curriculum	bigram	PhraseTable_co-aligned	None	0.534	n-n
(development program, training plan)	development program	training plan	bigram	PhraseTable_co-aligned	None	0.492	n-n
(development program, developing world)	development program	developing world	bigram	PhraseTable_co-aligned	None	0.474	n-n
(development program, initiative)	development program	initiative	unigram	PhraseTable_co-aligned	None	0.458	n-n
(development program, public service)	development program	public service	bigram	PhraseTable_co-aligned	None	0.357	n-n
(development program, building)	development program	building	unigram	PhraseTable_co-aligned	None	0.336	n-n
(development strategy, strategy development)	development strategy	strategy development	bigram	Wikipedia_transposed	None	0.650	n-n
(development strategy, action plan)	development strategy	action plan	bigram	PhraseTable_co-aligned	None	0.600	n-n
(development strategy, growth)	development strategy	growth	unigram	PhraseTable_co-aligned	None	0.580	n-n
(development strategy, developing)	development strategy	developing	unigram	PhraseTable_co-aligned	None	0.576	n-n
(development strategy, strategic approach)	development strategy	strategic approach	bigram	PhraseTable_co-aligned	None	0.568	n-n
(development strategy, approach)	development strategy	approach	unigram	PhraseTable_co-aligned	None	0.458	n-n
(development strategy, future)	development strategy	future	unigram	PhraseTable_co-aligned	None	0.446	n-n
(development strategy, game plan)	development strategy	game plan	bigram	PhraseTable_co-aligned	None	0.426	n-n
(development strategy, developing world)	development strategy	developing world	bigram	PhraseTable_co-aligned	None	0.333	n-n
(development strategy, international trade)	development strategy	international trade	bigram	PhraseTable_co-aligned	None	0.331	n-n
(development strategy, building)	development strategy	building	unigram	PhraseTable_co-aligned	None	0.302	n-n
(director general, general director)	director general	general director	bigram	Wikipedia_transposed	None	0.802	n-n
(director general, directorate)	director general	directorate	unigram	PhraseTable_co-aligned	None	0.750	n-n
(director general, chief)	director general	chief	unigram	PhraseTable_co-aligned	None	0.742	n-n
(director general, executive officer)	director general	executive officer	bigram	PhraseTable_co-aligned	None	0.741	n-n
(director general, senior management)	director general	senior management	bigram	PhraseTable_co-aligned	None	0.669	n-n
(director general, manager)	director general	manager	unigram	PhraseTable_co-aligned	None	0.655	n-n
(director general, chief executive)	director general	chief executive	bigram	PhraseTable_co-aligned	None	0.623	n-n
(director general, steering)	director general	steering	unigram	PhraseTable_co-aligned	None	0.570	n-n
(director general, national headquarters)	director general	national headquarters	bigram	PhraseTable_co-aligned	None	0.429	n-n
(director general, branch)	director general	branch	unigram	PhraseTable_co-aligned	None	0.276	n-n
(director general, returning officer)	director general	returning officer	bigram	PhraseTable_co-aligned	None	0.174	n-n
(disc brake, brake disk)	disc brake	brake disk	bigram	WordNet_part-whole	meronym	0.661	a-n
(disc brake, hydraulic brake)	disc brake	hydraulic brake	bigram	WordNet_is-a	hypernym	0.541	a-n
(disc brake, brake disc)	disc brake	brake disc	bigram	Wikipedia_transposed	None	0.524	a-n
(discussion group, group discussion)	discussion group	group discussion	bigram	Wikipedia_transposed	None	0.727	n-n
(discussion group, chat)	discussion group	chat	unigram	PhraseTable_co-aligned	None	0.709	n-n
(discussion group, forum)	discussion group	forum	unigram	PhraseTable_co-aligned	None	0.708	n-n
(discussion group, chat room)	discussion group	chat room	bigram	PhraseTable_co-aligned	None	0.670	n-n
(discussion group, internet chat)	discussion group	internet chat	bigram	PhraseTable_co-aligned	None	0.557	n-n
(discussion group, panel)	discussion group	panel	unigram	PhraseTable_co-aligned	None	0.509	n-n
(discussion group, session)	discussion group	session	unigram	PhraseTable_co-aligned	None	0.402	n-n
(discussion group, focus)	discussion group	focus	unigram	PhraseTable_co-aligned	None	0.386	n-n
(discussion group, qualitative research)	discussion group	qualitative research	bigram	PhraseTable_co-aligned	None	0.344	n-n
(discussion group, mailing list)	discussion group	mailing list	bigram	PhraseTable_co-aligned	None	0.320	n-n
(documentary film, film documentary)	documentary film	film documentary	bigram	Wikipedia_transposed	None	0.817	n-n
(documentary film, movie)	documentary film	movie	unigram	WordNet_is-a	hypernym	0.717	n-n
(documentary film, information)	documentary film	information	unigram	PhraseTable_co-aligned	None	0.539	n-n
(documentary film, docudrama)	documentary film	docudrama	unigram	WordNet_synonym	None	0.463	n-n
(documentary film, documentation)	documentary film	documentation	unigram	PhraseTable_co-aligned	None	0.462	n-n
(documentary film, infotainment)	documentary film	infotainment	unigram	WordNet_synonym	None	0.433	n-n
(documentary film, briefing)	documentary film	briefing	unigram	PhraseTable_co-aligned	None	0.352	n-n
(documentary film, extensive literature)	documentary film	extensive literature	bigram	PhraseTable_co-aligned	None	0.333	n-n
(documentary film, resource)	documentary film	resource	unigram	PhraseTable_co-aligned	None	0.324	n-n
(documentary film, information retrieval)	documentary film	information retrieval	bigram	PhraseTable_co-aligned	None	0.291	n-n
(documentary film, fact sheet)	documentary film	fact sheet	bigram	PhraseTable_co-aligned	None	0.260	n-n
(documentary film, literature review)	documentary film	literature review	bigram	PhraseTable_co-aligned	None	0.233	n-n
(documentary film, abusive behaviour)	documentary film	abusive behaviour	bigram	PhraseTable_co-aligned	None	0.167	n-n
(documentary film, background)	documentary film	background	unigram	PhraseTable_co-aligned	None	0.155	n-n
(dress uniform, military uniform)	dress uniform	military uniform	bigram	WordNet_is-a	hypernym	0.570	n-n
(dress uniform, uniform dress)	dress uniform	uniform dress	bigram	Wikipedia_transposed	None	0.564	n-n
(dress uniform, dress blues)	dress uniform	dress blues	bigram	WordNet_is-a	hyponym	0.360	n-n
(drum brake, brake drum)	drum brake	brake drum	bigram	Wikipedia_transposed	None	0.623	a-n
(drum brake, hydraulic brake)	drum brake	hydraulic brake	bigram	WordNet_is-a	hypernym	0.524	a-n
(drunk driving, driving drunk)	drunk driving	driving drunk	bigram	Wikipedia_transposed	None	0.906	n-n
(drunk driving, alcohol)	drunk driving	alcohol	unigram	PhraseTable_co-aligned	None	0.734	n-n
(drunk driving, drinking)	drunk driving	drinking	unigram	PhraseTable_co-aligned	None	0.595	n-n
(drunk driving, driver)	drunk driving	driver	unigram	PhraseTable_co-aligned	None	0.557	n-n
(drunk driving, impairment)	drunk driving	impairment	unigram	PhraseTable_co-aligned	None	0.377	n-n
(drunk driving, motor vehicle)	drunk driving	motor vehicle	bigram	PhraseTable_co-aligned	None	0.306	n-n
(drunk driving, issue)	drunk driving	issue	unigram	PhraseTable_co-aligned	None	0.207	n-n
(drunk driving, stolen property)	drunk driving	stolen property	bigram	PhraseTable_co-aligned	None	0.056	n-n
(east coast, eastern shore)	east coast	eastern shore	bigram	PhraseTable_co-aligned	None	0.772	a-n
(east coast, coast east)	east coast	coast east	bigram	Wikipedia_transposed	None	0.722	a-n
(east coast, eastern region)	east coast	eastern region	bigram	PhraseTable_co-aligned	None	0.653	a-n
(east coast, eastern seaboard)	east coast	eastern seaboard	bigram	PhraseTable_co-aligned	None	0.625	a-n
(east coast, eastern part)	east coast	eastern part	bigram	PhraseTable_co-aligned	None	0.610	a-n
(east coast, eastern side)	east coast	eastern side	bigram	PhraseTable_co-aligned	None	0.557	a-n
(east coast, shore)	east coast	shore	unigram	PhraseTable_co-aligned	None	0.395	a-n
(east coast, remains)	east coast	remains	unigram	PhraseTable_co-aligned	None	0.198	a-n
(east coast, stand)	east coast	stand	unigram	PhraseTable_co-aligned	None	0.151	a-n
(east coast, make)	east coast	make	unigram	PhraseTable_co-aligned	None	0.098	a-n
(east coast, person)	east coast	person	unigram	PhraseTable_co-aligned	None	0.050	a-n
(education degree, educational system)	education degree	educational system	bigram	PhraseTable_co-aligned	None	0.705	n-n
(education degree, teaching)	education degree	teaching	unigram	PhraseTable_co-aligned	None	0.703	n-n
(education degree, educational attainment)	education degree	educational attainment	bigram	PhraseTable_co-aligned	None	0.668	n-n
(education degree, teacher)	education degree	teacher	unigram	PhraseTable_co-aligned	None	0.661	n-n
(education degree, degree education)	education degree	degree education	bigram	Wikipedia_transposed	None	0.629	n-n
(education degree, knowledge)	education degree	knowledge	unigram	PhraseTable_co-aligned	None	0.607	n-n
(education degree, educational process)	education degree	educational process	bigram	PhraseTable_co-aligned	None	0.603	n-n
(education degree, school system)	education degree	school system	bigram	PhraseTable_co-aligned	None	0.477	n-n
(education degree, community)	education degree	community	unigram	PhraseTable_co-aligned	None	0.224	n-n
(education degree, legal background)	education degree	legal background	bigram	PhraseTable_co-aligned	None	0.212	n-n
(education degree, government)	education degree	government	unigram	PhraseTable_co-aligned	None	0.161	n-n
(education level, educational achievement)	education level	educational achievement	bigram	PhraseTable_co-aligned	None	0.830	n-n
(education level, educational status)	education level	educational status	bigram	PhraseTable_co-aligned	None	0.741	n-n
(education level, schooling)	education level	schooling	unigram	PhraseTable_co-aligned	None	0.727	n-n
(education level, educational background)	education level	educational background	bigram	PhraseTable_co-aligned	None	0.684	n-n
(education level, level education)	education level	level education	bigram	Wikipedia_transposed	None	0.680	n-n
(education level, academic)	education level	academic	unigram	PhraseTable_co-aligned	None	0.669	n-n
(education level, attainment)	education level	attainment	unigram	PhraseTable_co-aligned	None	0.623	n-n
(education level, academic achievement)	education level	academic achievement	bigram	PhraseTable_co-aligned	None	0.623	n-n
(education level, school achievement)	education level	school achievement	bigram	PhraseTable_co-aligned	None	0.617	n-n
(education level, school)	education level	school	unigram	PhraseTable_co-aligned	None	0.569	n-n
(education level, tuition)	education level	tuition	unigram	PhraseTable_co-aligned	None	0.421	n-n
(end game, game end)	end game	game end	bigram	Wikipedia_transposed	None	0.777	n-n
(end game, last)	end game	last	unigram	WordNet_is-a	hypernym	0.398	n-n
(energy efficient, efficient energy)	energy efficient	efficient energy	bigram	Wikipedia_transposed	None	0.750	n-n
(energy efficient, efficiency)	energy efficient	efficiency	unigram	PhraseTable_co-aligned	None	0.713	n-n
(energy efficient, fuel economy)	energy efficient	fuel economy	bigram	PhraseTable_co-aligned	None	0.669	n-n
(energy efficient, high efficiency)	energy efficient	high efficiency	bigram	PhraseTable_co-aligned	None	0.577	n-n
(energy efficient, fuel efficiency)	energy efficient	fuel efficiency	bigram	PhraseTable_co-aligned	None	0.565	n-n
(energy efficient, sustainable development)	energy efficient	sustainable development	bigram	PhraseTable_co-aligned	None	0.464	n-n
(energy efficient, performance)	energy efficient	performance	unigram	PhraseTable_co-aligned	None	0.450	n-n
(energy efficient, program)	energy efficient	program	unigram	PhraseTable_co-aligned	None	0.408	n-n
(energy efficient, pollution prevention)	energy efficient	pollution prevention	bigram	PhraseTable_co-aligned	None	0.395	n-n
(energy efficient, research)	energy efficient	research	unigram	PhraseTable_co-aligned	None	0.277	n-n
(energy efficient, retrofit)	energy efficient	retrofit	unigram	PhraseTable_co-aligned	None	0.223	n-n
(events calendar, schedule)	events calendar	schedule	unigram	PhraseTable_co-aligned	None	0.782	n-n
(events calendar, calendar events)	events calendar	calendar events	bigram	Wikipedia_transposed	None	0.733	n-n
(events calendar, event)	events calendar	event	unigram	PhraseTable_co-aligned	None	0.664	n-n
(events calendar, timing)	events calendar	timing	unigram	PhraseTable_co-aligned	None	0.585	n-n
(events calendar, link)	events calendar	link	unigram	PhraseTable_co-aligned	None	0.293	n-n
(events calendar, attraction)	events calendar	attraction	unigram	PhraseTable_co-aligned	None	0.153	n-n
(executive assistant, assistant executive)	executive assistant	assistant executive	bigram	Wikipedia_transposed	None	0.782	n-n
(executive assistant, administrative support)	executive assistant	administrative support	bigram	PhraseTable_co-aligned	None	0.648	n-n
(executive assistant, administration)	executive assistant	administration	unigram	PhraseTable_co-aligned	None	0.637	n-n
(executive assistant, administrative officer)	executive assistant	administrative officer	bigram	PhraseTable_co-aligned	None	0.627	n-n
(executive assistant, staff)	executive assistant	staff	unigram	PhraseTable_co-aligned	None	0.592	n-n
(executive assistant, secretary)	executive assistant	secretary	unigram	PhraseTable_co-aligned	None	0.560	n-n
(executive assistant, office manager)	executive assistant	office manager	bigram	PhraseTable_co-aligned	None	0.519	n-n
(executive assistant, chief)	executive assistant	chief	unigram	PhraseTable_co-aligned	None	0.483	n-n
(executive assistant, manager)	executive assistant	manager	unigram	PhraseTable_co-aligned	None	0.466	n-n
(executive assistant, director general)	executive assistant	director general	bigram	PhraseTable_co-aligned	None	0.342	n-n
(executive council, board)	executive council	board	unigram	PhraseTable_co-aligned	None	0.707	n-n
(executive council, council executive)	executive council	council executive	bigram	Wikipedia_transposed	None	0.637	n-n
(executive council, cabinet)	executive council	cabinet	unigram	PhraseTable_co-aligned	None	0.609	n-n
(executive council, committee)	executive council	committee	unigram	PhraseTable_co-aligned	None	0.527	n-n
(executive council, advisory committee)	executive council	advisory committee	bigram	PhraseTable_co-aligned	None	0.500	n-n
(executive council, government)	executive council	government	unigram	PhraseTable_co-aligned	None	0.474	n-n
(executive council, association)	executive council	association	unigram	PhraseTable_co-aligned	None	0.377	n-n
(executive government, governing council)	executive government	governing council	bigram	PhraseTable_co-aligned	None	0.640	a-n
(executive government, cabinet)	executive government	cabinet	unigram	PhraseTable_co-aligned	None	0.613	a-n
(executive government, government executive)	executive government	government executive	bigram	Wikipedia_transposed	None	0.605	a-n
(executive government, governing)	executive government	governing	unigram	PhraseTable_co-aligned	None	0.598	a-n
(executive government, exec)	executive government	exec	unigram	PhraseTable_co-aligned	None	0.589	a-n
(executive government, national assembly)	executive government	national assembly	bigram	PhraseTable_co-aligned	None	0.584	a-n
(executive government, policy analyst)	executive government	policy analyst	bigram	PhraseTable_co-aligned	None	0.450	a-n
(executive government, general counsel)	executive government	general counsel	bigram	PhraseTable_co-aligned	None	0.430	a-n
(executive government, administrative branch)	executive government	administrative branch	bigram	PhraseTable_co-aligned	None	0.407	a-n
(executive government, council)	executive government	council	unigram	PhraseTable_co-aligned	None	0.392	a-n
(executive government, general)	executive government	general	unigram	PhraseTable_co-aligned	None	0.333	a-n
(executive program, programme)	executive program	programme	unigram	WordNet_is-a	hypernym	0.778	a-n
(executive program, program executive)	executive program	program executive	bigram	Wikipedia_transposed	None	0.482	a-n
(executive program, supervisory routine)	executive program	supervisory routine	bigram	WordNet_part-whole	meronym	0.352	a-n
(executive program, supervisor)	executive program	supervisor	unigram	WordNet_synonym	None	0.352	a-n
(fair trade, trading)	fair trade	trading	unigram	PhraseTable_co-aligned	None	0.581	a-n
(fair trade, trade fair)	fair trade	trade fair	bigram	Wikipedia_transposed	None	0.500	a-n
(fair trade, alternative trading)	fair trade	alternative trading	bigram	PhraseTable_co-aligned	None	0.465	a-n
(fair trade, food)	fair trade	food	unigram	PhraseTable_co-aligned	None	0.161	a-n
(family business, enterprise)	family business	enterprise	unigram	PhraseTable_co-aligned	None	0.653	n-n
(family business, company)	family business	company	unigram	PhraseTable_co-aligned	None	0.615	n-n
(family business, business family)	family business	business family	bigram	Wikipedia_transposed	None	0.568	n-n
