pair	term1	term2	term2: unigram or bigram	source	relation	relatedness score	pos
(sector development, development sector)	sector development	development sector	bigram	Wikipedia_transposed	None	0.635	n-n
(service hours, hours service)	service hours	hours service	bigram	Wikipedia_transposed	None	0.720	n-n
(service program, program service)	service program	program service	bigram	Wikipedia_transposed	None	0.605	n-n
(service quality, quality service)	service quality	quality service	bigram	Wikipedia_transposed	None	0.720	n-n
(service road, road service)	service road	road service	bigram	Wikipedia_transposed	None	0.437	n-n
(service staff, staff service)	service staff	staff service	bigram	Wikipedia_transposed	None	0.585	n-n
(service support, support service)	service support	support service	bigram	Wikipedia_transposed	None	0.729	n-n
(share ownership, ownership share)	share ownership	ownership share	bigram	Wikipedia_transposed	None	0.795	n-n
(sharing information, information sharing)	sharing information	information sharing	bigram	Wikipedia_transposed	None	0.845	a-n
(sheet music, music sheet)	sheet music	music sheet	bigram	Wikipedia_transposed	None	0.763	n-n
(shift work, work shift)	shift work	work shift	bigram	Wikipedia_transposed	None	0.644	n-n
(shuttle bus, bus shuttle)	shuttle bus	bus shuttle	bigram	Wikipedia_transposed	None	0.738	a-n
(side entrance, entrance side)	side entrance	entrance side	bigram	Wikipedia_transposed	None	0.672	n-n
(side road, road side)	side road	road side	bigram	Wikipedia_transposed	None	0.556	n-n
(skills training, training skills)	skills training	training skills	bigram	Wikipedia_transposed	None	0.645	n-n
(software application, application software)	software application	application software	bigram	Wikipedia_transposed	None	0.679	n-n
(software development, development software)	software development	development software	bigram	Wikipedia_transposed	None	0.711	n-n
(software systems, systems software)	software systems	systems software	bigram	Wikipedia_transposed	None	0.680	n-n
(soil surface, surface soil)	soil surface	surface soil	bigram	Wikipedia_transposed	None	0.716	n-n
(sound recording, recording sound)	sound recording	recording sound	bigram	Wikipedia_transposed	None	0.675	n-n
(source language, language source)	source language	language source	bigram	Wikipedia_transposed	None	0.534	n-n
(south coast, coast south)	south coast	coast south	bigram	Wikipedia_transposed	None	0.680	a-n
(sovereign state, state sovereign)	sovereign state	state sovereign	bigram	Wikipedia_transposed	None	0.860	a-n
(spider web, web spider)	spider web	web spider	bigram	Wikipedia_transposed	None	0.697	n-n
(spring water, water spring)	spring water	water spring	bigram	Wikipedia_transposed	None	0.678	n-n
(square foot, foot square)	square foot	foot square	bigram	Wikipedia_transposed	None	0.642	a-n
(square inch, inch square)	square inch	inch square	bigram	Wikipedia_transposed	None	0.762	n-n
(square meter, meter square)	square meter	meter square	bigram	Wikipedia_transposed	None	0.517	a-n
(square mile, mile square)	square mile	mile square	bigram	Wikipedia_transposed	None	0.709	n-n
(staff training, training staff)	staff training	training staff	bigram	Wikipedia_transposed	None	0.573	n-n
(standard time, time standard)	standard time	time standard	bigram	Wikipedia_transposed	None	0.557	a-n
(standard transmission, transmission standard)	standard transmission	transmission standard	bigram	Wikipedia_transposed	None	0.575	a-n
(state government, government state)	state government	government state	bigram	Wikipedia_transposed	None	0.661	n-n
(steering wheel, wheel steering)	steering wheel	wheel steering	bigram	Wikipedia_transposed	None	0.585	a-n
(step process, process step)	step process	process step	bigram	Wikipedia_transposed	None	0.425	n-n
(stock company, company stock)	stock company	company stock	bigram	Wikipedia_transposed	None	0.491	n-n
(string bass, bass string)	string bass	bass string	bigram	Wikipedia_transposed	None	0.745	a-n
(subject area, area subject)	subject area	area subject	bigram	Wikipedia_transposed	None	0.763	a-n
(sufficient evidence, evidence sufficient)	sufficient evidence	evidence sufficient	bigram	Wikipedia_transposed	None	0.864	a-n
(sum total, total sum)	sum total	total sum	bigram	Wikipedia_transposed	None	0.810	a-n
(summer school, school summer)	summer school	school summer	bigram	Wikipedia_transposed	None	0.705	n-n
(support columns, columns support)	support columns	columns support	bigram	Wikipedia_transposed	None	0.604	n-n
(support program, program support)	support program	program support	bigram	Wikipedia_transposed	None	0.655	n-n
(support staff, staff support)	support staff	staff support	bigram	Wikipedia_transposed	None	0.588	n-n
(support system, system support)	support system	system support	bigram	Wikipedia_transposed	None	0.675	n-n
(surrounding area, area surrounding)	surrounding area	area surrounding	bigram	Wikipedia_transposed	None	0.839	a-n
(system design, design system)	system design	design system	bigram	Wikipedia_transposed	None	0.555	n-n
(systems analysis, analysis systems)	systems analysis	analysis systems	bigram	Wikipedia_transposed	None	0.600	n-n
(tap water, water tap)	tap water	water tap	bigram	Wikipedia_transposed	None	0.583	a-n
(tape recording, recording tape)	tape recording	recording tape	bigram	Wikipedia_transposed	None	0.741	n-n
(tea leaf, leaf tea)	tea leaf	leaf tea	bigram	Wikipedia_transposed	None	0.667	n-n
(teacher education, education teacher)	teacher education	education teacher	bigram	Wikipedia_transposed	None	0.695	a-n
(team lead, lead team)	team lead	lead team	bigram	Wikipedia_transposed	None	0.595	n-n
(team member, member team)	team member	member team	bigram	Wikipedia_transposed	None	0.663	n-n
(team sport, sport team)	team sport	sport team	bigram	Wikipedia_transposed	None	0.786	n-n
(team work, work team)	team work	work team	bigram	Wikipedia_transposed	None	0.571	n-n
(television channel, channel television)	television channel	channel television	bigram	Wikipedia_transposed	None	0.782	n-n
(television drama, drama television)	television drama	drama television	bigram	Wikipedia_transposed	None	0.728	n-n
(television network, network television)	television network	network television	bigram	Wikipedia_transposed	None	0.625	n-n
(television news, news television)	television news	news television	bigram	Wikipedia_transposed	None	0.621	n-n
(television show, show television)	television show	show television	bigram	Wikipedia_transposed	None	0.831	n-n
(theater stage, stage theater)	theater stage	stage theater	bigram	Wikipedia_transposed	None	0.765	n-n
(time delay, delay time)	time delay	delay time	bigram	Wikipedia_transposed	None	0.675	n-n
(time lag, lag time)	time lag	lag time	bigram	Wikipedia_transposed	None	0.694	n-n
(tobacco smoking, smoking tobacco)	tobacco smoking	smoking tobacco	bigram	Wikipedia_transposed	None	0.867	n-n
(toll road, road toll)	toll road	road toll	bigram	Wikipedia_transposed	None	0.709	n-n
(total population, population total)	total population	population total	bigram	Wikipedia_transposed	None	0.742	a-n
(total sales, sales total)	total sales	sales total	bigram	Wikipedia_transposed	None	0.883	a-n
(trading company, company trading)	trading company	company trading	bigram	Wikipedia_transposed	None	0.823	n-n
(traffic light, light traffic)	traffic light	light traffic	bigram	Wikipedia_transposed	None	0.383	n-n
(train speed, speed train)	train speed	speed train	bigram	Wikipedia_transposed	None	0.525	n-n
(training school, school training)	training school	school training	bigram	Wikipedia_transposed	None	0.677	n-n
(transport aircraft, aircraft transport)	transport aircraft	aircraft transport	bigram	Wikipedia_transposed	None	0.718	n-n
(trial court, court trial)	trial court	court trial	bigram	Wikipedia_transposed	None	0.650	n-n
(tv station, station tv)	tv station	station tv	bigram	Wikipedia_transposed	None	0.762	n-n
(union member, member union)	union member	member union	bigram	Wikipedia_transposed	None	0.548	n-n
(union workers, workers union)	union workers	workers union	bigram	Wikipedia_transposed	None	0.755	n-n
(university teaching, teaching university)	university teaching	teaching university	bigram	Wikipedia_transposed	None	0.680	n-n
(upset stomach, stomach upset)	upset stomach	stomach upset	bigram	Wikipedia_transposed	None	0.880	a-n
(vacant position, position vacant)	vacant position	position vacant	bigram	Wikipedia_transposed	None	0.860	a-n
(video recording, recording video)	video recording	recording video	bigram	Wikipedia_transposed	None	0.810	n-n
(war time, time war)	war time	time war	bigram	Wikipedia_transposed	None	0.476	n-n
(war years, years war)	war years	years war	bigram	Wikipedia_transposed	None	0.728	n-n
(waste water, water waste)	waste water	water waste	bigram	Wikipedia_transposed	None	0.692	n-n
(water body, body water)	water body	body water	bigram	Wikipedia_transposed	None	0.381	n-n
(water mains, mains water)	water mains	mains water	bigram	Wikipedia_transposed	None	0.647	n-n
(water quality, quality water)	water quality	quality water	bigram	Wikipedia_transposed	None	0.763	n-n
(water source, source water)	water source	source water	bigram	Wikipedia_transposed	None	0.849	n-n
(water tank, tank water)	water tank	tank water	bigram	Wikipedia_transposed	None	0.758	n-n
(west coast, coast west)	west coast	coast west	bigram	Wikipedia_transposed	None	0.806	a-n
(wine making, making wine)	wine making	making wine	bigram	Wikipedia_transposed	None	0.871	n-n
(work day, day work)	work day	day work	bigram	Wikipedia_transposed	None	0.500	n-n
(work program, program work)	work program	program work	bigram	Wikipedia_transposed	None	0.525	n-n
(work site, site work)	work site	site work	bigram	Wikipedia_transposed	None	0.517	n-n
(work time, time work)	work time	time work	bigram	Wikipedia_transposed	None	0.662	n-n
(world class, class world)	world class	class world	bigram	Wikipedia_transposed	None	0.420	n-n
(world cup, cup world)	world cup	cup world	bigram	Wikipedia_transposed	None	0.509	n-n
